Index,Airport Name,Latitude,Longitude
206, Springfield Regional, 39.8405, -89.6778
207, Cape Girardeau Regional, 37.2259, -89.5708
208, Durango-La Plata County, 37.1490, -107.7520
209, Joplin Regional, 37.1528, -94.4983
210, Newport News/Williamsburg International, 37.1319, -76.4920
211, Barkley Regional, 36.8593, -88.3728
212, Norfolk Intl, 36.8946, -76.2012
213, Fresno Air Terminal, 36.7762, -119.7181
214, Monterey Peninsula, 36.5870, -121.8435
215, Tri-Cities Regional Tn/Va, 36.4754, -82.4080
216, Tulsa Intl, 36.1984, -95.8882
217, Nashville Intl, 36.1246, -86.6782
218, Piedmont Triad Intll, 36.1000, -79.9419
219, Mc Carran Intl, 36.0801, -115.1525
220, Drake Field, 36.0050, -94.1700
221, Raleigh-Durham Intll, 35.8778, -78.7875
222, Mc Ghee Tyson, 35.8112, -83.9853
223, Asheville Regional, 35.4358, -82.5418
224, Meadows Field, 35.4336, -119.0521
225, Will Rogers World, 35.3931, -97.6007
226, Fort Smith Regional, 35.3366, -94.3675
227, Kinston Regional Jetport At Stallings Field, 35.3191, -77.6119
228, San Luis Obispo County-Mc Chesney Field, 35.2368, -120.6413
229, Amarillo Intl, 35.2206, -101.7061
230, Charlotte/Douglas Intl, 35.2140, -80.9431
231, Flagstaff Pulliam, 35.2191, -111.6634
232, Memphis Intl, 35.0424, -89.9767
233, Albuquerque Intl, 35.0402, -106.6096
234, Lovell Field, 35.0353, -85.1983
235, Fayetteville Regional/Grannis Field, 34.9912, -78.8803
236, Santa Maria Pub/Capt G Allan Hancock Field, 34.9018, -120.4475
237, Greenville-Spartanburg International, 34.8956, -82.2189
238, Albert J Ellis, 34.8292, -77.6121
239, Adams Field, 34.7270, -92.2197
240, Huntsville Intl-Carl T Jones Field, 34.6439, -86.7865
241, Lawton Muni, 34.5686, -98.4166
242, Santa Barbara Muni, 34.4259, -119.8404
243, New Hanover Intll, 34.2706, -77.9023
244, Oxnard, 34.2008, -119.2070
245, Burbank-Glendale-Pasadena, 34.2006, -118.3587
246, Ontario Intl, 34.0560, -117.6012
247, Sheppard Afb/Wichita Falls Municipal, 33.9888, -98.4919
248, Los Angeles Intl, 33.9416, -118.4085
249, Columbia Metropolitan, 33.9380, -81.1195
250, Palm Springs Regional, 33.8297, -116.5063
251, Long Beach /Daugherty Field/, 33.8178, -118.1510
252, Myrtle Beach Intl, 33.6797, -78.9321
253, John Wayne Airport-Orange County, 33.6767, -117.8678
254, Lubbock Intl, 33.6636, -101.8222
255, The William B Hartsfield Atlanta Intl, 33.6404, -84.4269
256, Birmingham Intl, 33.5629, -86.7535
257, Texarkana Regional-Webb Field, 33.4538, -93.9910
258, Phoenix Sky Harbor Intl, 33.4342, -112.0081
259, Bush Field, 33.3699, -81.9645
260, Charleston Afb/Intl, 32.8998, -80.0405
261, Dallas/Fort Worth Intl, 32.8968, -97.0375
262, Dallas Love Field, 32.8471, -96.8519
263, San Diego Intl-Lindbergh Fld, 32.7336, -117.1897
264, Yuma Mcas/Yuma Intl, 32.6566, -114.6060
265, Columbus Metropolitan, 32.5164, -84.9389
266, Monroe Regional, 32.5112, -92.0377
267, Shreveport Regional, 32.4466, -93.8256
268, Abilene Regional, 32.4113, -99.6825
269, Gregg County, 32.3846, -94.7115
270, Tyler Pounds Field, 32.3541, -95.4023
271, Jackson Intll, 32.3100, -90.0750
272, Dannelly Field, 32.3006, -86.3937
273, Savannah Intll, 32.1276, -81.2036
274, Tucson Intl, 32.1161, -110.9420
275, Midland Intl, 31.9425, -102.2084
276, El Paso Intl, 31.8067, -106.3785
277, Waco Regional, 31.6113, -97.2305
278, Alexandria Esler Regional, 31.3949, -92.2958
279, Mathis Field, 31.3577, -100.4968
280, Killeen Muni, 31.0672, -97.8289
281, Mobile Regional, 30.6875, -88.2419
282, Easterwood Field, 30.5890, -96.3658
283, Baton Rouge Metropolitan\ Ryan Field, 30.5332, -91.1496
284, Jacksonville Intl, 30.4941, -81.6879
285, Eglin Afb, 30.4833, -86.5254
286, Pensacola Regional, 30.4734, -87.1866
287, Tallahassee Regional, 30.3965, -84.3503
288, Robert Mueller Muni, 30.3202, -97.7689
289, Panama City-Bay Co Intl, 30.2121, -85.6823
290, Lafayette Regional, 30.2053, -91.9876
291, Lake Charles Regional, 30.1261, -93.2234
292, New Orleans Intl/Moisant Fld/, 29.9934, -90.2581
293, Houston Intercontinental, 29.9844, -95.3414
294, Jefferson County, 29.9490, -90.2570
295, Gainesville Regional, 29.6890, -82.2727
296, William P Hobby, 29.6454, -95.2789
297, San Antonio Intl, 29.5337, -98.4698
298, Daytona Beach Intl, 29.1832, -81.0581
299, Orlando Intl, 28.4294, -81.3089
300, Melbourne Intll, 28.1020, -80.6458
301, Tampa Intl, 27.9756, -82.5333
302, St Petersburg/Clearwater Intl, 27.9102, -82.6870
303, Corpus Christi Intl, 27.7704, -97.5019
304, Laredo Intl, 27.5438, -99.4615
305, Sarasota/Bradenton Intl, 27.3954, -82.5544
306, Palm Beach Intl, 26.6831, -80.0956
307, Southwest Florida Intl, 26.5362, -81.7553
308, Rio Grande Valley Intl, 26.2285, -98.2456
309, McAllen Miller Intl, 26.1758, -98.2386
310, Fort Lauderdale/Hollywood Intl, 26.0726, -80.1528
311, Miami Intl, 25.7933, -80.2906
312, Lihue, 21.9750, -159.3389
313, Honolulu Intl, 21.3207, -157.9242
314, Molokai, 21.1529, -157.0963
315, Kapalua, 20.9629, -156.6733
316, Kahului, 20.8986, -156.4294
317, Lanai, 20.7903, -156.0251
318, Keahole-Kona Intll, 19.7388, -156.0456
319, Hilo Intll, 19.7214, -155.0485
320, Rafael Hernandez, 18.4963, -67.1294
321, Luis Munoz Marin Intl, 18.4394, -66.0018
322, Cyril E King, 18.3373, -64.9734
323, Eugenio Maria De Hostos, 18.1388, -66.2632
324, Mercedita, 17.9296, -66.5020
325, Alexander Hamilton, 17.7016, -64.8001
326, Johnston Atoll, 16.7286, -169.5335
327, Saipan Intl, 15.1200, 145.7266
328, Rota Intl, 14.1743, 145.2425
329, Guam Intll, 13.4834, 144.7956
330, Babelthuap/Koror, 7.3674, 134.5442
331, Pago Pago Intl, -14.3310, -170.7119
332, West Tinian, 14.9981, 145.6217
